Kód obce,Název obce,Registrovaní voliči,Vydané obálky,Platné hlasy,Občanská demokratická strana,Řád národa - Vlastenecká unie,CESTA ODPOVĚDNÉ SPOLEČNOSTI,Česká str.sociálně demokrat.,Radostné Česko,STAROSTOVÉ A NEZÁVISLÍ,Komunistická str.Čech a Moravy,Strana zelených,"ROZUMNÍ-stop migraci,diktát.EU",Strana svobodných občanů,Blok proti islam.-Obran.domova,Občanská demokratická aliance,Česká pirátská strana,Unie H.A.V.E.L.,Referendum o Evropské unii,TOP 09,ANO 2011,Dobrá volba 2016,SPR-Republ.str.Čsl. M.Sládka,Křesť.demokr.unie-Čs.str.lid.,Česká strana národně sociální,REALISTÉ,SPORTOVCI,Dělnic.str.sociální spravedl.,Svob.a př.dem.-T.Okamura (SPD),Strana Práv Občanů
530093,Loket,456,351,350,"6,85 %","0,00 %","0,00 %","8,85 %","0,00 %","4,57 %","8,00 %","0,57 %","1,14 %","1,71 %","0,00 %","0,00 %","13,14 %","0,00 %","0,00 %","5,42 %","25,14 %","0,00 %","0,00 %","12,85 %","0,00 %","0,28 %","0,00 %","0,28 %","11,14 %","0,00 %"
530107,Louňovice pod Blaníkem,563,369,365,"11,78 %","0,54 %","0,00 %","8,76 %","0,00 %","6,84 %","6,84 %","1,09 %","0,27 %","0,00 %","0,00 %","0,00 %","9,58 %","0,27 %","0,00 %","3,83 %","37,80 %","0,00 %","0,27 %","5,47 %","0,00 %","0,27 %","0,00 %","0,00 %","6,30 %","0,00 %"
532193,Lštění,331,225,226,"14,15 %","0,00 %","0,00 %","4,86 %","0,00 %","10,61 %","8,84 %","0,88 %","0,44 %","2,65 %","0,00 %","0,44 %","13,27 %","0,44 %","0,44 %","12,38 %","19,02 %","0,00 %","0,00 %","3,53 %","0,00 %","0,44 %","0,00 %","0,00 %","7,07 %","0,44 %"
530115,Maršovice,602,421,419,"6,20 %","0,00 %","0,00 %","5,48 %","0,00 %","8,35 %","10,26 %","2,62 %","0,47 %","0,95 %","0,00 %","0,00 %","13,12 %","0,00 %","0,00 %","5,48 %","31,26 %","0,00 %","0,23 %","5,72 %","0,00 %","0,71 %","0,00 %","0,47 %","8,59 %","0,00 %"
530158,Mezno,297,203,201,"9,95 %","0,00 %","0,00 %","8,95 %","0,00 %","9,45 %","11,94 %","0,00 %","0,49 %","5,47 %","0,00 %","0,00 %","8,95 %","0,00 %","0,00 %","1,49 %","28,35 %","0,00 %","0,00 %","4,47 %","0,00 %","1,49 %","0,99 %","0,49 %","6,96 %","0,49 %"
530166,Miličín,728,449,449,"7,34 %","0,00 %","0,00 %","6,01 %","0,00 %","9,79 %","6,23 %","1,33 %","1,33 %","0,66 %","0,00 %","0,22 %","8,90 %","0,22 %","0,44 %","5,12 %","39,19 %","0,00 %","0,22 %","4,67 %","0,22 %","0,22 %","0,00 %","0,00 %","7,79 %","0,00 %"
530174,Miřetice,149,102,100,"18,00 %","0,00 %","0,00 %","2,00 %","0,00 %","8,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","9,00 %","0,00 %","0,00 %","4,00 %","34,00 %","0,00 %","0,00 %","7,00 %","0,00 %","2,00 %","1,00 %","0,00 %","15,00 %","0,00 %"
530191,Mnichovice,184,114,114,"7,01 %","0,00 %","0,00 %","7,89 %","0,00 %","4,38 %","14,03 %","2,63 %","0,87 %","0,00 %","1,75 %","0,00 %","8,77 %","0,00 %","0,00 %","0,00 %","37,71 %","0,00 %","0,00 %","9,64 %","0,00 %","0,00 %","0,00 %","0,00 %","5,26 %","0,00 %"
530204,Mrač,637,431,429,"10,95 %","0,00 %","0,00 %","4,42 %","0,00 %","13,05 %","7,92 %","2,79 %","0,93 %","1,63 %","0,00 %","0,00 %","10,95 %","0,00 %","0,23 %","3,26 %","32,63 %","0,23 %","0,00 %","1,86 %","0,00 %","1,16 %","0,23 %","0,23 %","7,45 %","0,00 %"
530212,Načeradec,881,512,509,"8,25 %","0,19 %","0,00 %","5,50 %","0,19 %","8,25 %","10,21 %","0,39 %","0,19 %","1,17 %","0,19 %","0,19 %","10,01 %","0,00 %","0,00 %","2,75 %","35,75 %","0,00 %","0,19 %","6,67 %","0,00 %","0,39 %","0,39 %","0,58 %","8,44 %","0,00 %"
